File,Column,Type,Transformation,Node,Attribute,Color,Property,Source Node,Relationship,Target Node,Source ID,Target ID,Value
Exceptional_Trees_On_Oahu,id,toString,copy,Tree,id,5DB275,id,Tree,IN_A,Location,id,name,3
Exceptional_Trees_On_Oahu,common_name,toString,copy,Tree,name,5DB275,name,,,,,,Baobab
Exceptional_Trees_On_Oahu,height,toString,copy,Tree,,5DB275,height,,,,,,32.5-36
Exceptional_Trees_On_Oahu,diameter,toString,copy,Tree,,5DB275,diameter,,,,,,52-112
Exceptional_Trees_On_Oahu,circumference,toString,copy,Tree,,5DB275,circumference,,,,,,13.7-29.4
Exceptional_Trees_On_Oahu,information,toString,copy,Tree,desc,5DB275,description,,,,,,Located along the river
Exceptional_Trees_On_Oahu,species_code,toString,copy,Species,id,EC3113,id,Tree,IS_A,Species,id,species_code,ADDI3
Exceptional_Trees_On_Oahu,scientific_name,toString,copy,Species,name,EC3113,name,,,,,,Adansonia digitata
Exceptional_Trees_On_Oahu,name,toString,copy,Location,id,3F8BFA,id,,,,,,"20,140,004"
Exceptional_Trees_On_Oahu,location,toString,copy,Location,name,3F8BFA,name,,,,,,Ala Moana Beach Park
Exceptional_Trees_On_Oahu,latitude,toString,copy,Location,,3F8BFA,lat,,,,,,21.29
Exceptional_Trees_On_Oahu,longitude,toString,copy,Location,,3F8BFA,long,,,,,,-157.85
Exceptional_Trees_On_Oahu,island_abbv,toString,copy,Island,id,8800CE,id,Location,ON_A,Island,name,island_abbv,B
Exceptional_Trees_On_Oahu,island_name,toString,copy,Island,name,8800CE,name,,,,,,Hawaii